simulation,generating_model,parameter,true_value,fitting_model,estimate_median,estimate_lower,estimate_upper,Rhat,error,min_S,alpha,sigma,b_cov,Smsy,K,alpha_estimate,sigma_estimate,Smsy_estimate,K_estimate
11,Beverton-Holt,K,8379,Beverton-Holt,6742.28,4313.21,13966.71,1.001,-19.533595894498152,581.9284705302563,1.599253963270345,0.8276118414151541,0.7848395839376124,2598.372449228189,8379,2.76,1.06,1298.09,6742.28
11,Beverton-Holt,Smsy,2598.372449228189,Beverton-Holt,1298.09,50.89,4881.63,1.002,-50.0421888946067,581.9284705302563,1.599253963270345,0.8276118414151541,0.7848395839376124,2598.372449228189,8379,2.76,1.06,1298.09,6742.28
11,Beverton-Holt,alpha,1.599253963270345,Beverton-Holt,2.76,0.76,9.49,1.001,72.58046960571683,581.9284705302563,1.599253963270345,0.8276118414151541,0.7848395839376124,2598.372449228189,8379,2.76,1.06,1298.09,6742.28
11,Beverton-Holt,b_cov,0.7848395839376124,Beverton-Holt,0.88,0.44,1.28,1.001,12.124823723207104,581.9284705302563,1.599253963270345,0.8276118414151541,0.7848395839376124,2598.372449228189,8379,2.76,1.06,1298.09,6742.28
11,Beverton-Holt,sigma,0.8276118414151541,Beverton-Holt,1.06,0.85,1.36,1,28.07936606942207,581.9284705302563,1.599253963270345,0.8276118414151541,0.7848395839376124,2598.372449228189,8379,2.76,1.06,1298.09,6742.28
11,Beverton-Holt,K,8379,Ricker,15670.2,4620.45,33340.21,1,87.01754385964914,581.9284705302563,1.599253963270345,0.8276118414151541,0.7848395839376124,2598.372449228189,8379,0.56,1.16,7226.63,15670.2
11,Beverton-Holt,Smsy,2598.372449228189,Ricker,7226.63,2257.76,14882.82,1,178.12140642680274,581.9284705302563,1.599253963270345,0.8276118414151541,0.7848395839376124,2598.372449228189,8379,0.56,1.16,7226.63,15670.2
11,Beverton-Holt,alpha,1.599253963270345,Ricker,0.56,0.15,1.01,1,-64.98367283362266,581.9284705302563,1.599253963270345,0.8276118414151541,0.7848395839376124,2598.372449228189,8379,0.56,1.16,7226.63,15670.2
11,Beverton-Holt,b_cov,0.7848395839376124,Ricker,0.74,0.28,1.19,1.001,-5.713216414575847,581.9284705302563,1.599253963270345,0.8276118414151541,0.7848395839376124,2598.372449228189,8379,0.56,1.16,7226.63,15670.2
11,Beverton-Holt,sigma,0.8276118414151541,Ricker,1.16,0.93,1.49,1.001,40.162325132575084,581.9284705302563,1.599253963270345,0.8276118414151541,0.7848395839376124,2598.372449228189,8379,0.56,1.16,7226.63,15670.2
12,Beverton-Holt,K,9834,Beverton-Holt,11161.05,2250.09,27181.61,1.001,13.494508846857833,3713.043588462337,2.3209549126027693,1.7396369541104977,-1.4345162287115862,2346.201027251108,9834,3.09,1.86,1609.93,11161.05
12,Beverton-Holt,Smsy,2346.201027251108,Beverton-Holt,1609.93,86.49,9168.65,1.001,-31.381412705020807,3713.043588462337,2.3209549126027693,1.7396369541104977,-1.4345162287115862,2346.201027251108,9834,3.09,1.86,1609.93,11161.05
12,Beverton-Holt,alpha,2.3209549126027693,Beverton-Holt,3.09,0.09,9.57,1.001,33.1348568307519,3713.043588462337,2.3209549126027693,1.7396369541104977,-1.4345162287115862,2346.201027251108,9834,3.09,1.86,1609.93,11161.05
